URL,Image_URL,Name,Original_Price(INR),Discount_Price(INR),Description
https://www.nike.com/ph/t/sabrina-3-blueprint-ep-basketball-shoes-G2lc4oD7/HF2882-400,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/7225074b-f079-4b33-b2a8-cdd12df52021/SABRINA+3+EP.png",Sabrina 3 'Blueprint' EP,11848.2,7108.92,"Sabrina Ionescu's pursuit of excellence requires a shoe that can keep up with both her work ethic and will to win. Enter the Sabrina 3. Its lightweight, secure upper helps keep her supported with cables, allowing her to shift, slide and step back with confidence. This Light Blue design with precise white hits speaks to Sabrina's blueprint that all hoopers can abide by. With its extra-durable rubber outsole, this version gives you traction for outdoor courts.

Colour Shown: Glacier Blue/Light Armoury Blue/Still Blue/Metallic Gold
Style: HF2882-400
Country/Region of Origin: Vietnam"
https://www.nike.com/ph/t/lebron-witness-ix-ep-basketball-shoes-hNGbepYn/HQ8035-001,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/5299a55f-5a87-492e-b5c9-73f0daad5a66/LEBRON+WITNESS+IX+EP.png",LeBron Witness IX EP,8728.2,6982.56,"When LeBron needs to reach deep into his seemingly endless well of stamina, he wants a shoe that can help him stay energised all game. With a full-length ReactX foam midsole helping keep him spry, the LeBron Witness IX can help The King cross the finishing line fresh. With its extra-durable rubber outsole, this version gives you traction for outdoor courts.

Colour Shown: Black/Coconut Milk/Iron Grey
Style: HQ8035-001
Country/Region of Origin: India"
https://www.nike.com/ph/t/air-jordan-mule-golf-shoes-RHRFBC/FJ1214-800,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/50726e82-5f52-49c3-af66-beab206fc0ba/AIR+JORDAN+MULE.png",Air Jordan Mule,8572.2,6857.76,"Slide into pre- and post-game paradise, whether you're sailing to the 19th hole after a career low or ramping up for the round ahead in the all-new Jordan 1 G Mule. It's easily accessible, eye-poppingly eccentric and complete with timeless Jordan ethos and comfort.

Colour Shown: Starfish/Sail/Black
Style: FJ1214-800
Country/Region of Origin: Vietnam"
https://www.nike.com/ph/t/precision-7-easyon-basketball-shoes-LAiAX18O/FN0324-101,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/a036ea50-1ff8-4c99-8c38-6ea3a4e3ca45/NIKE+PRECISION+VII+EASYON.png",Nike Precision 7 EasyOn,5764.2,4611.36,"Step onto the floor with full confidence and take your best shot in the Nike Precision 7—a game-ready basketball shoe for everyone. Made with Nike EasyOn technology, it has a collapsible heel and large midfoot strap to help you tighten the laces and secure the fit using one hand. Fasten the strap in a matter of seconds, check in and make the plays that swing the outcome in your favour.

Colour Shown: White/Black
Style: FN0324-101
Country/Region of Origin: India"
https://www.nike.com/ph/t/jordan-heir-series-basketball-shoes-IdOB4PEG/HQ8650-076,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/50e87474-fc80-455a-ad91-7dc2fbbea7c8/JORDAN+HEIR+SERIES+PF.png",Jordan Heir Series,9664.2,7731.36,"If her game demands it, it's gotta be good. Crafted with insights from women basketball players, the Jordan Heir Series helps you play with agility and stay low to the ground. A drop-in midsole gives you extra mobility, while an external cage provides a fit that contours to your foot for added support. So go ahead and cut in confidence.

Colour Shown: Black/University Red/Metallic Gold
Style: HQ8650-076
Country/Region of Origin: Vietnam"
https://www.nike.com/ph/t/air-force-1-07-wb-shoes-j46FxX/CJ9179-001,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/c90f7949-b685-485e-8602-23f1d079cd3a/AIR+FORCE+1+%2707+WB.png",Nike Air Force 1 '07 WB,10522.2,8417.76,"Comfortable, durable and timeless—the AF-1 is a fan favourite for a reason. This version features work boot-inspired details, like round laces and hex nut eyelets, adding tough style that tracks whether you're on the court or on the go.

Colour Shown: Black/Black
Style: CJ9179-001
Country/Region of Origin: India"
https://www.nike.com/ph/t/shox-ride-2-shoes-sg6Nhj1k/IH4468-001,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/54b4bf03-cb4f-40c0-98fa-cae9a5e3d6d4/NIKE+SHOX+RIDE+2.png",Nike Shox Ride 2,16060.2,9636.12,"A modern classic, this Nike Shox Ride 2 offers outstanding responsive cushioning with four columns of support under its heel and Max Air technology in the forefoot. A synthetic leather and breathable textile upper is comfortable and durable.

Colour Shown: Black/Olive Flak/Metallic Silver/Black
Style: IH4468-001
Country/Region of Origin: Indonesia"
https://www.nike.com/ph/t/pegasus-41-eliud-kipchoge-road-running-shoes-11ScK2/HJ7037-600,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/36effcab-4862-4d64-a838-4ff1ce659253/AIR+ZOOM+PEGASUS+41+EK.png",Nike Pegasus 41 'Eliud Kipchoge',12316.2,9852.96,"Colour Shown: Silt Red/Persian Violet/Fire Pink/Green Shock
Style: HJ7037-600
Country/Region of Origin: China"
https://www.nike.com/ph/t/alphafly-3-eliud-kipchoge-road-racing-shoes-7b3Rj3b4/HJ7041-600,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/c714752a-28f0-47af-bcaf-93c2bf97f060/AIR+ZOOM+ALPHAFLY+NEXT%25+3+EK.png",Nike Alphafly 3 'Eliud Kipchoge',23548.2,18838.56,"Colour Shown: Silt Red/Bright Ceramic/Fire Pink/Green Shock
Style: HJ7041-600
Country/Region of Origin: China"
https://www.nike.com/ph/t/zoom-vomero-5-shoes-VDYdO8fP/IH1344-300,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/95bb7ae6-3d4e-4cdb-aac5-eb4baae418e7/NIKE+ZOOM+VOMERO+5+PRM.png",Nike Zoom Vomero 5 Premium,14656.2,11724.96,"Carve a new lane for yourself in the Zoom Vomero 5—your go-to for complexity, depth and easy styling. The richly layered design includes textiles, leather and plastic accents that come together to make one of the coolest sneakers of the season.

Colour Shown: Olive Flak/Black/Quantum Moss/Picante Red
Style: IH1344-300
Country/Region of Origin: Vietnam"
