URL,Image_URL,Name,Original_Price(INR),Discount_Price(INR),Discount_Percentage
https://www.nike.com/ph/t/journey-run-road-running-shoes-Q5kF8v/FN0228-008,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/56093047-a25b-482f-ab64-0a9a43285bbd/NIKE+JOURNEY+RUN.png",Nike Journey Run,7792.2,6233.76,20.0
https://www.nike.com/ph/t/run-defy-road-running-shoes-rVrdTl/HM9594-008,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/dbc84efa-b73e-448f-b4fd-53b46a7f6535/NIKE+RUN+DEFY.png",Nike Run Defy,4828.2,3862.56,20.0
https://www.nike.com/ph/t/tatum-4-pf-basketball-shoes-akrecBRm/HQ4613-001,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/37ceddc9-af49-4245-8d56-b51d5d3a7e6b/JORDAN+TATUM+4+PF.png",Tatum 4 PF,11380.2,9104.16,20.0
https://www.nike.com/ph/t/pegasus-road-running-shoes-xzQQKz/HQ2592-010,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/e0ef926e-0e99-46d9-8198-6cafc92822ae/NIKE+PEGASUS+PREMIUM.png",Nike Pegasus Premium,18712.2,14969.76,20.0
https://www.nike.com/ph/t/sportswear-futura-365-cross-body-bag-PExW1jWH/HV6621-126,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/45531540-031a-4cc8-a61e-a9f9b1f2e83f/W+NSW+FUTURA+365+CRSSBDY-SWIRL.png",Nike Sportswear Futura 365,2176.2,1740.96,20.0
https://www.nike.com/ph/t/court-shot-shoes-ZfRXql/FQ8146-001,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/0bb3ddb9-7093-4130-bfa9-eaf84dc7b538/COURT+SHOT.png",Nike Court Shot,6388.2,5110.56,20.0
https://www.nike.com/ph/t/precision-7-basketball-shoes-6JN4R0/HJ9153-601,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/288e715e-3091-4f98-8080-0ddeedfb424a/NIKE+PRECISION+VII.png",Nike Precision 7,5764.2,4611.36,20.0
https://www.nike.com/ph/t/sabrina-3-gamer-ep-basketball-shoes-2w1twW7b/II3986-300,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/0401e22f-1a55-41b8-a5b5-759254bb71b0/SABRINA+3+GAMER+EP.png","Sabrina 3 ""Gamer"" EP",12628.2,10102.56,20.0
https://www.nike.com/ph/t/total-90-shoes-Yr4jp94v/IH2090-200,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/384b25fc-968f-4a5f-82fb-64d6316c0ace/TOTAL+90+PRM.png",Nike Total 90 Premium,11848.2,7108.92,40.0
https://www.nike.com/ph/t/free-metcon-6-workout-shoes-Q3pWcF/FJ7126-606,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/e073acf6-10a8-4b43-ae30-ddffce863a90/W+NIKE+FREE+METCON+6.png",Nike Free Metcon 6,10756.2,8604.96,20.0
https://www.nike.com/ph/t/vomero-18-road-running-shoes-CFnHyds9/IH7349-331,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/8b0d8e04-9f72-4e9e-94f8-41dc71bc79c1/W+NIKE+VOMERO+18.png",Nike Vomero 18,13096.2,9168.12,29.99
https://www.nike.com/ph/t/pegasus-41-gore-tex-waterproof-road-running-shoes-mDNh6r/FQ1356-001,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/a9504e2c-ca2b-4110-8fce-e9f57996248f/AIR+ZM+PEGASUS+41+GTX.png",Nike Pegasus 41 GORE-TEX,13876.2,11100.96,20.0
https://www.nike.com/ph/t/air-max-muse-shoes-S15p90/HV4445-072,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/60137944-fadd-4929-8b8f-59f9c129768a/W+NIKE+AIR+MAX+MUSE.png",Nike Air Max Muse,13408.2,10726.56,20.0
https://www.nike.com/ph/t/tatum-3-pf-basketball-shoes-cJO36fYd/FZ6601-400,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/ab269e93-27c2-47c7-859c-33993862d2a2/JORDAN+TATUM+3+PF.png",Tatum 3 PF,11068.2,6640.92,40.0
https://www.nike.com/ph/t/air-max-sndr-shoes-De0W9lLz/HJ4130-100,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/a915fbec-6ec1-4c4c-9614-c97fbba63fb0/W+NIKE+AIR+MAX+SNDR+SE.png",Nike Air Max SNDR,16060.2,9636.12,40.0
https://www.nike.com/ph/t/shox-ride-2-shoes-gihorw4n/IH3653-095,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/a7df6eb6-a2e4-481b-9f9f-b8c68d591e2b/NIKE+SHOX+RIDE+2+PRM.png",Nike Shox Ride 2 Premium,17932.2,10759.32,40.0
